Id,Name,Opening Hours,Street,StreetNo,Latitude,Longitude,Zip Code,Country
1,Adidas Originals Store Munich,"[[null, null], [1100, 2000], [1100, 2000], [1100, 2000], [1100, 2000], [1100, 2000], [1100, 1800]]",Hohenzollernstraße,27,48.15992,11.579461,80801,DE
2,Alexa's Retrofashion,"[[null, null], [1300, 1900], [1300, 1900], [1300, 1900], [1300, 1900], [1300, 1900], [1100, 1800]]",Utzschneiderstraße,10,48.133854,11.575658,80469,DE
3,American Apparel,"[[null, null], [1000, 2000], [1000, 2000], [1000, 2000], [1000, 2000], [1000, 2000], [1000, 2000]]",Sendlinger Straße,24,48.135223,11.570421,80331,DE
4,Art De Naht Änderungsatelier,"[[null, null], [null, null], [0830, 1830], [0830, 1830], [0830, 1830], [0830, 1830], [0900, 1400]]",Prinzregentenstraße,104,48.138226,11.612465,81677,DE
5,Auryn Naturfashion GmbH,"[[null, null], [1000, 1900], [1000, 1900], [1000, 1900], [1000, 1900], [1000, 1900], [1000, 1800]]",Reichenbachstraße,35,48.130074,11.575933,80469,DE
6,Bar Jeans,,Blumenstraße,15,48.133003,11.573029,80331,DE
7,Benetton,,Leopoldstraße,46,48.157265,11.584753,80802,DE
8,Benetton,,Marienplatz,25,48.13705,11.57516,80331,DE
9,Bertrand Berufskleidung,"[[null, null], [0930, 1930], [0930, 1930], [0930, 1930], [0930, 1930], [0930, 1930], [0930, 1600]]",Hohenzollernstraße,19,48.15979,11.58167,80801,DE
10,Bogner,"[[null, null], [1000, 1900], [1000, 1900], [1000, 1900], [1000, 1900], [1000, 1900], [1000, 1800]]",Residenzstraße,14,48.140087,11.577373,80333,DE
11,BONITA GmbH & Co. KG,,Willy-Brandt-Platz,5,48.13217,11.692359,81829,DE
12,Bugs,,Müllerstraße,,48.13223,11.567019,80337,DE
13,C & A Mode,"[[null, null], [0900, 2000], [0900, 2000], [0900, 2000], [0900, 2000], [0900, 2000], [0900, 2000]]",Kaufingerstraße,13,48.137814,11.572292,80331,DE
14,C & A Mode,"[[null, null], [0900, 2000], [0900, 2000], [0900, 2000], [0900, 2000], [0900, 2000], [0900, 2000]]",Thomas-Dehler-Straße,12,48.09995,11.64507,81737,DE
15,C & A Mode,,Schleißheimer Straße,506,48.212887,11.562531,80933,DE
16,C&A,"[[null, null], [0830, 2000], [0830, 2000], [0830, 2000], [0830, 2000], [0830, 2000], [0830, 2000]]",Bayerstraße,21,48.13922,11.561524,80335,DE
17,C&A,"[[null, null], [0900, 2000], [0900, 2000], [0900, 2000], [0900, 2000], [0900, 2000], [0900, 2000]]",Riesstraße,57,48.18277,11.53598,80993,DE
